Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0007235,BP0004406,P,P,P,D3,7-Territory,,,CAG LOGISTICS MANAGEMENT SERVICES I,CAG LOGISTICS MANAGEMENT SERVICES I,3131 N FRANKLIN ROAD,INDIANAPOLIS,46226,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$922 ,$0 ,,,
AD0007254,BP0004414,P,P,D3,D3,7-Territory,,,FUJIFILM NORTH AMERICA CORPORATION,FUJIFILM NORTH AMERICA CORPORATION,3131 N FRANKLIN ROAD,INDIANAPOLIS,46226,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,980 ","$3,280 ","($5,980)",,,
AD0007263,BP0004419,P,P,D3,D3,1-Territory,,,BISHOP-TAYLOR ENTERPRISES,BISHOP-TAYLOR ENTERPRISES,3000 S SHELBY STREET,INDIANAPOLIS,46227,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,700 ","$1,873 ","($1,700)",,,
AD0007265,BP0004420,P,P,P,D3,7-Territory,,,LPS INDUSTRIES LLC,LPS INDUSTRIES LLC,6304 BROOKVILLE ROAD,INDIANAPOLIS,46219,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$637 ,$0 ,,,
AD0007280,BP0004428,P,P,P,D3,1-Territory,,,INNOVATIVE N RENOVATIONS LLC,INNOVATIVE N RENOVATIONS LLC,7745 E 89TH STREET,INDIANAPOLIS,46256,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$224 ,$0 ,,,
AD0007289,BP0004433,P,P,C2,D2,7-Territory,,,OMNI LOGISTICS,OMNI LOGISTICS,2710 RAND ROAD,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,813 ","$2,809 ","($10,813)",,,
AD0004013,BP0004447,C2,P,P,D3,7-Territory,,,INDPLS CONVENTION CENTER,INPRODUCTION,100 S CAPITOL AVE,INDIANAPOLIS,46225,Marion IN,,"$5,850 ",$0 ,$834 ,$0 ,$834 ,"$36,626 ",$0 ,"$37,460 ","$181,663 ","$123,512 ","($144,203)",,,
AD0004013,BP0004448,C2,P,P,D3,7-Territory,,,INDPLS CONVENTION CENTER,SHOWCALL INC,100 S CAPITOL AVE,INDIANAPOLIS,46225,Marion IN,,"$5,850 ",$0 ,$834 ,$0 ,$834 ,"$36,626 ",$0 ,"$37,460 ","$181,663 ","$123,512 ","($144,203)",,,
AD0007319,BP0004450,P,P,P,D3,7-Territory,,,HC3 INC,HC3 INC,2040 S LUNHURST DRIVE,INDIANAPOLIS,46231,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$75 ,$0 ,,,
AD0007352,BP0004463,P,P,D3,P,1-Territory,,,NETS COMPANIES,NETS COMPANIES,3049 CHIEF LANE,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$700 ,$0 ,($700),,,
