Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
HERITAGE CRYSTAL CLEAN,DES MOINES,1501 NE BROADWAY,Polk IA,50313,A1,$0,$0,$0,$677968,,
HERITAGE CRYSTAL CLEAN,EDINBURG,410 N 87th ST,Hidalgo TX,78543,A1,$0,$0,$6608,$677968,26.29632938,-98.06774773
HERITAGE CRYSTAL CLEAN,EL PASO,8901 CASTNER AVE,El Paso TX,79907,A1,$0,$0,$2478,$677968,,
HERITAGE CRYSTAL CLEAN,ELGIN,1585 HIGH POINT,Kane IL,60123,A1,$0,$0,$0,$677968,42.07175700,-88.27792500
HERITAGE CRYSTAL CLEAN,ETOBICOKE,425 KIPLING AVENUE,,M8Z5C,A1,$0,$0,$0,$677968,43.60628030,-79.51963021
HERITAGE CRYSTAL CLEAN,FAIRLESS HILLS,199 CANAL RD,Bucks PA,19030,A1,$0,$0,$4720,$677968,40.18963000,-74.78465200
HERITAGE CRYSTAL CLEAN,FORT WAYNE,2701 COLISEUM BLVD,Allen IN,46803,A1,$0,$0,$7071,$677968,41.06071300,-85.08684400
HERITAGE CRYSTAL CLEAN,GAHANNA,980 CLAYCRAFT RD,Franklin OH,43230,A1,$0,$0,$7104,$677968,39.99296746,-82.84873284
HERITAGE CRYSTAL CLEAN,GARY,219 VIRGINA ST,Lake IN,46402,A1,$0,$0,$7071,$677968,41.60610000,-87.32798700
HERITAGE CRYSTAL CLEAN,HARRISBURG,1235 S HARRISBURG ST,Dauphin PA,17113,A1,$0,$0,$6608,$677968,40.22609466,-76.80139723
HERITAGE CRYSTAL CLEAN,HARTLAND,1005 RICHARDS ST,Waukesha WI,53029,A1,$0,$0,$0,$677968,43.08386700,-88.35923900
HERITAGE CRYSTAL CLEAN,HOFFMAN ESTATES,2000 CENTER DRIVE,Cook IL,60192,A1,$0,$0,$17541,$677968,,
HERITAGE CRYSTAL CLEAN,HOUSTON,9360 WALLISVILLE RD,Harris TX,77013,A1,$0,$0,$0,$677968,29.79177661,-95.26370898
HERITAGE CRYSTAL CLEAN,HUDSON,13 HAMPSHIRE DR,,3051,A1,$0,$0,$4720,$677968,42.73341070,-71.42859421
HERITAGE CRYSTAL CLEAN,INDIANAPOLIS,1560 W RAYMOND ST,Marion IN,46221,A1,$0,$0,$5161,$677968,39.73730370,-86.18861705
HERITAGE CRYSTAL CLEAN,INDIANAPOLIS,2503 W LAMBERT ST,Marion IN,46221,A1,$0,$0,$0,$677968,39.74887300,-86.20246097
HERITAGE CRYSTAL CLEAN,INDIANAPOLIS,3970 W 10TH ST,Marion IN,46222,A1,$0,$5250,$69130,$694390,39.78088945,-86.22660699
HERITAGE CRYSTAL CLEAN,Jackson,2006 Dunigan,Jackson MI,49203,A1,$0,$0,$0,$677968,42.22544179,-84.38497700
HERITAGE CRYSTAL CLEAN,KANSAS CITY,30 FUNSTON RD,Wyandotte KS,66115,A1,$0,$0,$11191,$677968,39.14408400,-94.61241600
HERITAGE CRYSTAL CLEAN,LAVERGNE,106 LASALLE COURT,Rutherford TN,37089,A1,$0,$0,$1946,$677968,36.02783600,-86.55472100
HERITAGE CRYSTAL CLEAN,LITTLE ROCK,1900 EAST 145th ST,Pulaski AR,72206,A1,$0,$0,$4720,$677968,,
HERITAGE CRYSTAL CLEAN,LORTON,8308 CINDERBED RD,Fairfax VA,22079,A1,$0,$0,$6608,$677968,,
HERITAGE CRYSTAL CLEAN,LOS ANGELES,1700 S SOTO ST,Los Angeles CA,90023,A1,$0,$0,$4817,$677968,34.01829700,-118.22000000
HERITAGE CRYSTAL CLEAN,LOVINGTON,2330 S MAIN ST,Lea NM,88260,A1,$0,$0,$5856,$677968,32.92618400,-103.34427900
HERITAGE CRYSTAL CLEAN,MADISON,4001 FELLAND ROAD,Dane WI,53718,A1,$0,$0,$0,$677968,43.14473664,-89.27682529
HERITAGE CRYSTAL CLEAN,MINNEAPOLIS,796 29th AVE   SE,Hennepin MN,55414,A1,$0,$0,$1946,$677968,44.98423700,-93.21307500
HERITAGE CRYSTAL CLEAN,MONEE,25903 S RIDGELAND AVE,Will IL,60449,A1,$0,$0,$7276,$677968,41.41866075,-87.76670525
HERITAGE CRYSTAL CLEAN,N ROYALTON,10012 AIKENS RD,Cuyahoga OH,44133,A1,$0,$0,$5314,$677968,41.30710000,-81.76060600
HERITAGE CRYSTAL CLEAN,NEW ORLEANS,15146 INTERCOASTAL DRIVE,Orleans LA,70129,A1,$0,$0,$0,$677968,,
HERITAGE CRYSTAL CLEAN,ODESSA,315 PRONTO AVE,Ector TX,79762,A1,$0,$0,$11656,$677968,31.87563809,-102.29540582
HERITAGE CRYSTAL CLEAN,OMAHA,2510 N 11th ST,Douglas NE,68110,A1,$0,$0,$4185,$677968,41.28151524,-95.93013291
HERITAGE CRYSTAL CLEAN,PENNSAUKEN,1005 SHERMAN AVE,,8110,A1,$0,$0,$7109,$677968,39.97147733,-75.05583182
HERITAGE CRYSTAL CLEAN,PERRYSBURG,26699 ECKEL RD,Wood OH,43551,A1,$0,$0,$7054,$677968,41.54120273,-83.64238981
HERITAGE CRYSTAL CLEAN,PHOENIX,2440 W LINCOLN ST,Maricopa AZ,85009,A1,$0,$0,$6608,$677968,33.44223401,-112.11208676
HERITAGE CRYSTAL CLEAN,PLANT CITY,105 S ALEXANDER ST,Hillsborough FL,33563,A1,$0,$0,$0,$677968,28.01254745,-82.13808414
HERITAGE CRYSTAL CLEAN,POMPANO BEACH,1300 NE 48TH ST,Broward FL,33064,A1,$0,$0,$1946,$677968,26.28994851,-80.10642290
HERITAGE CRYSTAL CLEAN,PORTLAND,17186 NE SANDY BLVD,Multnomah OR,97230,A1,$0,$0,$4185,$677968,45.54717300,-122.48644400
HERITAGE CRYSTAL CLEAN,RALEIGH,825 D KITCHEN DR,Wake NC,27603,A1,$0,$0,$8207,$677968,35.71618600,-78.65773000
HERITAGE CRYSTAL CLEAN,ROCHESTER,864 DRIVING PARK AVE #1,Monroe NY,14613,A1,$0,$0,$0,$677968,43.18330530,-77.65271210
HERITAGE CRYSTAL CLEAN,ROMULUS,29060 AIRPORT DR,Wayne MI,48174,A1,$0,$0,$4720,$677968,42.23599023,-83.32440882
HERITAGE CRYSTAL CLEAN,SCHERTZ,17353 BELL NORTH DR,Guadalupe TX,78154,A1,$0,$0,$0,$677968,29.61918903,-98.29220473
HERITAGE CRYSTAL CLEAN,SHREVEPORT,3450 HOLLYWOOD AVE,Caddo LA,71109,A1,$0,$0,$0,$677968,32.45657852,-93.79170812
HERITAGE CRYSTAL CLEAN,SIOUX FALLS,3606 W TICKMAN STREET,Minnehaha SD,57107,A1,$0,$0,$1946,$677968,43.58277119,-96.77198625
HERITAGE CRYSTAL CLEAN,SPRINGTOWN,320 SCROGGINS RD,Parker TX,76082,A1,$0,$0,$1091,$677968,32.98657380,-97.68340053
HERITAGE CRYSTAL CLEAN,ST PAUL,800 TRANSFER RD,Ramsey MN,55114,A1,$0,$0,$6608,$677968,44.96620700,-93.18561400
HERITAGE CRYSTAL CLEAN,ST PETERS,114 TRADE CENTER DR,St. Charles MO,63376,A1,$0,$0,$6608,$677968,38.79991630,-90.66694320
HERITAGE CRYSTAL CLEAN,THOMASVILLE,17926 GEORGIA HWY 3,Thomas GA,31792,A1,$0,$0,$5819,$677968,,
HERITAGE CRYSTAL CLEAN,VANDALIA,10706 MAINTENANCE RD,Montgomery OH,45377,A1,$0,$0,$4270,$677968,,
HERITAGE CRYSTAL CLEAN,WALKER,3721 NORTHRIDGE DR NW,Kent MI,49544,A1,$0,$0,$6608,$677968,43.02702300,-85.76191800
HERITAGE CRYSTAL CLEAN,WOOD DALE,298 BEINORIS DR,DuPage IL,60191,A1,$0,$0,$4359,$677968,41.97633427,-87.96977446
HERITAGE CRYSTAL CLEAN,ZELIENOPLE,201 LINDSAY RD,Butler PA,16063,A1,$0,$0,$0,$677968,40.76048600,-80.11408700
HERITAGE CYRSTAL CLEAN,HAYWARD,30989 SAN CLEMENTE ST,Alameda CA,94544,A1,$0,$0,$4720,$677968,37.61313129,-122.05263170
HERITAGE ENVIRONMENTAL,INDIANAPOLIS,1626 RESEARCH WAY,Marion IN,46241,C2,$0,$0,$0,$33114,39.74100480,-86.29731705
HERITAGE ENVIRONMENTAL,INDIANAPOLIS,7901 WEST MORRIS ST,Marion IN,46231,C2,$0,$19252,$12350,$33114,,
HERITAGE EXPOSITION SERVI,INDIANAPOLIS,10 SOUTH WEST ST,Marion IN,46204,P,$0,$0,$0,$0,39.76707333,-86.16720975
HERRENS TWIN CITY MOVING,LAFAYETTE,2715 SCHUYLER AVE,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.45143602,-86.85482471
HERSHBERGER CABINET,MILROY,4545 W 1000 SOUTH,Rush IN,46156,D3,$0,$3322,$0,$3322,,
HEXA PARTNERS,INDIANAPOLIS,5689 W 73RD STREET,Marion IN,46278,P,$0,$0,$0,$0,39.88431030,-86.26171590
HI TECH LABEL,FRANKFORT,710 FRANKLIN STREET,Clinton IN,46041,P,$0,$0,$0,$0,,
HICKS & SONS LLC,CLOVERDALE,2740 E COUNTY RD 900 S,Putnam IN,46120,P,$0,$0,$0,$0,39.52905400,-86.79970900
HIGH TIDE EXPRESS,LAFAYETTE,4313 STERGEN DR,Tippecanoe IN,47909,P,$0,$0,$0,$0,40.35495528,-86.89457719
