Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0001036,BP0000941,D3,D3,P,D3,1-Territory,,,WINROC CORP,WINROC CORP,3029 N POST RD,INDIANAPOLIS,46226,Marion IN,,$0,$0,$667,$0,$667,$0,$0,$667,$0,$3106,$667,,,
AD0000001,BP0000951,A3,D3,D3,D3,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",HONEYCOMB PRODUCTS,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0001046,BP0000951,D3,D3,D3,D3,1-Territory,,,HONEYCOMB PRODUCTS,HONEYCOMB PRODUCTS,405 W RAYMOND ST,INDIANAPOLIS,46225,Marion IN,,$0,$0,$0,$2218,$2218,$0,$0,$2218,$363,$156,$1856,,,
AD0001053,BP0000958,D3,D3,D3,P,1-Territory,,,MY TE PRODUCTS,MY TE PRODUCTS,9880 E 30TH ST,INDIANAPOLIS,46229,Marion IN,,$0,$0,$0,$704,$704,$0,$0,$704,$75,$0,$629,,,
AD0001069,BP0000974,D3,D3,D3,D3,1-Territory,,,SULLIVAN COMMERCIAL,SULLIVAN COMMERCIAL,8112 WOODLAND DR,INDIANAPOLIS,46268,Marion IN,,$0,$0,$0,$817,$817,$0,$0,$817,$1081,$468,($264),,,
AD0001091,BP0000996,D3,D3,D3,D3,1-Territory,,,PETRO CHOICE,PETRO CHOICE,1751 W RAYMOND ST,INDIANAPOLIS,46221,Marion IN,,$0,$0,$0,$5830,$5830,$0,$0,$5830,$1855,$1001,$3975,,,
AD0001095,BP0001000,D3,D3,D3,D3,1-Territory,,,INDUSTRIAL HYDRAULICS INC,INDUSTRIAL HYDRAULICS INC,1005 WESTERN DR,INDIANAPOLIS,46241,Marion IN,,$0,$0,$754,$2274,$3028,$0,$0,$3028,$390,$980,$2638,,,
AD0000001,BP0001002,A3,D3,D3,D2,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",ARCAMED LLC,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0001097,BP0001002,D3,D3,D3,D2,1-Territory,,,ARCAMED LLC,ARCAMED LLC,5101 DECATUR BLVD,INDIANAPOLIS,46241,Marion IN,,$0,$15462,$0,$514,$514,$0,$0,$514,$3284,$4927,($2770),,,
AD0000001,BP0001015,A3,D3,D3,D3,7-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",SMART WAREHOUSING,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
