Account Name,City,Address,County State,Zip Code,Min of Latitude,Min of Longitude
ALTA MATERIAL HANDLING,SCHENECTADY,2820 CURRY ROAD,Schenectady NY,12303,42.7509757,-73.9163416
ALTERRA PLASTICS,SEYMOUR,2213 KILLION AVENUE,Jackson IN,47274,38.97231146,-85.86341658
ALTEX,WESTFIELD,17201 WESTFIELD ROAD,Hamilton IN,46074,40.036816,-86.137844
ALTIUM PACKAGING,LEBANON,917 EDWARDS DR,Boone IN,46052,40.02344,-86.495733
AMACO,INDIANAPOLIS,6060 GUION ROAD,Marion IN,46254,39.86460025,-86.23305196
AMARO'S RIGGING AND MOVING,MOORESVILLE,1201 HADLEY RD,Morgan IN,46158,39.60926423,-86.35593997
AMBU/KING SYSTEMS CORP,NOBLESVILLE,15011 HERRIMAN BLVD,Hamilton IN,46060,40.00970671,-86.00571552
AMERICAN COATED PRODUCTS,ZIONSVILLE,7436 S MAYFLOWER PARK DR,Boone IN,46077,39.935367,-86.242431
"AMERICAN FEEDING SYSTEMS, INC",NOBLESVILLE,15425 ENDEAVOR DRIVE,Hamilton IN,46060,40.01291388,-85.99146614
AMERICAN FIBERTECH CORPORATION,CLARKS HILL,11349 US 52 SOUTH,Tippecanoe IN,47930,40.255082,-86.700343
AMERICAN FIBERTECH CORPORATION,GREENCASTLE,225 N CARLISLE STREET,Franklin PA,17225,39.79378624,-77.72607394
AMERICAN FIBERTECH CORPORATION,LAFAYETTE,701 NAVCO DRIVE,Tippecanoe IN,47905,40.410106,-86.853285
AMERICAN FIT CO LLC,ZIONSVILLE,10650 BENNETT PARKWAY,Boone IN,46077,39.940924,-86.248495
AMERICAN FLOOR COVERING,PLAINFIELD,2340 PERRY RD,Hendricks IN,46168,,
AMERICAN INDUSTRIAL BRANDS,KOKOMO,2500 N UNION ST,Howard IN,46901,40.5113324,-86.13017927
AMERICAN INDUSTRIAL TRANSMISSION,WALTON HILLS,20395 HANNAN PKWY,Cuyahoga OH,44146,41.3646581,-81.53082692
AMERICAN METALS SUPPLY,INDIANAPOLIS,2521 PLANES DRIVE,Marion IN,46219,39.80453155,-86.01509165
AMERICAN TRANSPORTATION LLC,INDIANAPOLIS,430 S FRANKLIN ROAD,Marion IN,46219,39.7628368,-86.02758205
